Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
c900b4379b9bda3fb8491fa3bd96fdfa2f163a3f,Added new HTTPError handing mechanisms.,d6fa43fba746274aaf54fa908996116c13ba25d2,False,requests/core.py
6d8a531e87efabdbfa734bd9f70e7220623c1cf7,HTTPError changes are going down in history,748633d616db4e27bb00530d8db5afa660460a67,False,HISTORY.rst
4f1301f6ad24505e67125ee3b316c8e4cdbdf409,Now Requests has it's own HTTPError,6d8a531e87efabdbfa734bd9f70e7220623c1cf7,False,requests/core.py
8ac29b40e91910660afaa5d90529a1c6861e5014,new documentation on Request changes.,adb53c2b4fba5c86256a01549b7d92bc883050b0,False,README.rst
a5517960ea63728d3d8cb5c761a13b749575b3c9,history indent fix for rest/pypi,fa42c12e5b3a9bad83594d9831ddb00be094e249,False,HISTORY.rst
6bde9551709444a9b3859ae33b6174edcc99b03e,Python 2.5 Fixes.,952970f40351589cbf316491dbda9448efd3f606,False,"requests/__init__.py, requests/core.py"
b82e72eb04156f269aa393b1805e7d9de48f6b62,cStringIO fix.,a7c87edebe395416571ad9cac7a37e2a8122b31d,False,test_requests.py
fbe0393eb34e975022cd3bf884dc94a6f5aa886d,cstring io fix for py3,b82e72eb04156f269aa393b1805e7d9de48f6b62,False,test_requests.py
e8234a013752ee8bae05c142d1950023c4a9fa8b,import fix,fbe0393eb34e975022cd3bf884dc94a6f5aa886d,False,requests/__init__.py
5072399f7af38ab14d638838a5e45818ca9ede41,Import fix for python2.5,736cb70e9a656a9351563bd5d3debceb50c267e3,False,requests/__init__.py
5c4aa1f4b7ef64845b523494dbf652e6c24c10ee,history date fix,d2cdefa7df40e8b9cb98e831dc70bcefa71467c5,False,HISTORY.rst
8b3c4da2c7003a8d60e64ec4275cffe229621cad,Merge branch 'hotfix/date',"d2cdefa7df40e8b9cb98e831dc70bcefa71467c5, 5c4aa1f4b7ef64845b523494dbf652e6c24c10ee",True,
e26570d0d87d9af37bfe356228a0e08ea04a07eb,Merge branch 'hotfix/date' into develop,"720d0b2c38bd5c8dcc03a1a1de23a976c76f5f87, 5c4aa1f4b7ef64845b523494dbf652e6c24c10ee",True,
f96157d259e43d9dfa9adeae54a9779004d35cf6,Fix a syntax error on py2.5 and pypy,718f45698de90994effa734ac6d608e92008c177,False,requests/core.py
e788ca7ee629f7ed8700d31bbdf7a2930c1a7398,Safer error response handling.,68dea921e7482c8ee235b571e8dd5f5bb7a07650,False,requests/core.py
6f5b64bca68489c31c7f5a62a31024bf0ddd8aa9,small workaround for issue #7,e788ca7ee629f7ed8700d31bbdf7a2930c1a7398,False,"requests/core.py, requests/packages/poster/streaminghttp.py"
e7b8e9371a0ee9bb9bb8e2269474ca67088cdc86,merge changes,1f60e1004c4a6866089843b88612cf60b16c2281,False,"requests/async.py, requests/core.py"
839c8cf150be3ebe80cbcb6e67f955405665c9e2,postbin tests were broken,b252cd84037053bd7675d1ff41c102ce237cd0ae,False,test_requests.py
dd01f8661ebaa4840598e04ba909b6a5663b6e64,hacking whitespace fixes,99c3970fd39b676bda45a5ce082559b910cc0212,False,HACKING
9fdee250de7e1aa0c92db5fb435cf1f2f8efe7e7,Better POSTER header compatibility (Fixes #13),c6acfef3d08c80d36ba33d60c3925265ca53ea35,False,requests/core.py
be228043a1eede54c0913166f36ac5b1d99f16be,whitespace fix,48ffb627fed0d76806f25fa934a8142be2cf8a87,False,AUTHORS
2401f149750337970300383634f3942e9da3c68f,Fixing User-agent header problem introduced with Python 2.7.1,be228043a1eede54c0913166f36ac5b1d99f16be,False,"requests/core.py, test_requests.py"
7a62b10ff2fb5091d77aaf63d1ab091713ead332,Automatically decompress gzipped responses if content-type is set. fixes #19,23d5761bd4676c6bcbe99d4da27b190837330bb7,False,requests/core.py
2814664e91d9a7516f0f5f156fb482b9109a8b5b,Fixes #20.,1359094cc8a46732c146486b3feb0d6fa09ca7f0,False,requests/core.py
fec0d1a9a09e60bd4da70765095a42f56d337f28,history changes,642c667566f3c0eca98b947f2b2aa45a74e3ed06,False,HISTORY.rst
122c4f05146836969b1c248bc3b03849caee1b58,updated history w/ latest changes,83494152fe6db7e22dbeeff47bc28c253073d00a,False,HISTORY.rst
45ca6d8a7869468a1ccd934b077573a1843c7f43,"Merge pull request #26 from jgorset/requests

---

Ive implemented a `settings` context manager as described in [pull request #25](https://github.com/kennethreitz/requests/pull/25#issuecomment-1039541).

    >>> import requests
    >>> with requests.settings(timeout=0.5):
    ...     requests.get(http://example.org) # Times out after 0.5 seconds
    ...     requests.get(http://example.org, timeout=10) # Times out after 10 seconds

Settings may also be manipulated separately:

    >>> import requests
    >>> requests.timeout = 0.5
    >>> requests.get(http://example.org) # Times out after 0.5 seconds","122c4f05146836969b1c248bc3b03849caee1b58, 77f4b8a75e804b83cca7c917a16bec93fdd6b302",True,
64d6c3074f2e1bd5ae5f5d786f83d592a5a56ead,sphinx extension fix,122c4f05146836969b1c248bc3b03849caee1b58,False,docs/conf.py
8a4a05aac071095ff26d5cf3b4949cbcd01b3cef,test for unicode url issues,64d6c3074f2e1bd5ae5f5d786f83d592a5a56ead,False,test_requests.py
23ee58d6ec47a06358008cb7a4ab4f9556edc285,"Encode both keys and values for incoming unicode data as UTF-8, coincidentally fixing a bug that caused UTF-8 encoded byte strings to be encoded twice and causing an UnicodeDecodeError.",59dd3ed4596809a56d5103b45a20f61c18d72e77,False,"requests/core.py, test_requests.py"
1971bdbe6726af224d92723b3f5f12f26aa4277f,fix for post non-dict data,912f48eececb6355b3511416d4d5361aedbd5d08,False,"requests/core.py, test_requests.py"
9b0bb871d21aaf20c8e5717bdd19c3e3379a3285,"Merge pull request #29 from meganemura/requests

---

raised Attribute Error when post str data something like json because of not having items attribute.
move encoding data to utf-8 inside hasattr(data, items)","912f48eececb6355b3511416d4d5361aedbd5d08, 1971bdbe6726af224d92723b3f5f12f26aa4277f",True,
1421ffa32ab4709c9a7634493803bd55a3c6615f,HTTP Basic recursion. Fixes #31,62931b60f8c6da1a1f1a3bd472c8d6ce0570c27c,False,"requests/core.py, test_requests.py"
8ba12ff4f3fb17ad5b9f21076474cbd7558ca881,cleaner patch names,14ef4622634ae8746bce600523cbed15a119d15a,False,"requests/models.py, requests/monkeys.py"
5708fe95657f2e00050acce95963b5cf72e8827c,python 2.5 fix,c40deefb8a192c83ceab0cfe745ed2bdf378130c,False,requests/core.py
3cec61481cd8b9dd8d208437d52fb6d5014f7c1d,ignore http errors in redirect loops,5708fe95657f2e00050acce95963b5cf72e8827c,False,requests/models.py
2546bafdde7ba1900e5a905acb21e7eb3de0d723,name fix,d27e4bff1ebf0caef629f4a05ca42a7038f72caf,False,AUTHORS
84544b1d017c18044d111eb3118e9223b3adaf97,link fix,319b570f8212c5681326782764e4a0e361e95ea5,False,docs/index.rst
cc851818c2a052131e78ba432adf73eaef0865cd,doc fixes (pretty),ba45b9d8904c3982ebe1a0bc0290b36f859f23c2,False,"docs/_templates/sidebarlogo.html, docs/_themes/kr/layout.html"
8ffb2462f99a51dd5d2d5c4054da9e986e669899,home page url change,12187155b4e4939165a2dcda9f6c35b5a8f71046,False,setup.py
59c747b793cd84589edece4e905fd175af16686a,Fix typos,baddc5b6adc72ad1cd1f0500344569ffef04cdf7,False,"requests/api.py, requests/models.py"
c8cc2d0421a35e8001b8ddd584777dc0d1b30963,Relocate exceptions,a00dc1abf37a0348e963d4e061c3f820bddca09d,False,"requests/core.py, requests/exceptions.py, requests/models.py"
ef81c166114c3e11502b96ce344bfdaa7292d9ff,Fix typos,da26f1f37729b614db68cef4c968e99009210a51,False,requests/exceptions.py
2f60748c7340c0f1b034998677115d465d470f0d,Stop importing inspect,bbd58b922bb1e5268206aa266cddfb1293c6f959,False,requests/__init__.py
8aa6fabd4d57ca0f9a5efc4a7d70fec338c94e2a,Support relative redirects. Fixes #36,398f5b501f7d67c52a27b8a6e00b883866d11e48,False,requests/models.py
0b36d925f653b10e62c8653f3918ffffb3d1a954,remove debug print,bc290f62d7f17392ac30e57cc213c5034c48b9da,False,requests/config.py
b51e042e735a18b1301aad637c0aecd089d52dee,"Merge pull request #38 from jgorset/requests

---

Ive refactored `api.request`. I think. The new version is more robust in that it no longer accepts arbitrary arguments and raises an exception if one attempts to call it with both `params` and `data` (that should probably be supported, though, but thats a topic for another issue).

Conflicts:
	requests/api.py","670c4aecdde6232f2f487564a4ccac70f9cc7002, 82f1320ed54abd2676a2c09abb6d4c6e7723794d",True,
04c169ecfeb8a00aafe851392ca6eb01812ee396,"Merge pull request #39 from mrtazz/patch-1

e.g. should be i.e. I guess","3189d8690e5b6a90d1921e9697e9231269f806e4, 5593f12347419c33063b19a3d9c33fee54348d1b",True,
9b2d7382bfc8656630b70fd68831fc47ae1c5eee,"Conform api.* arguments to api.request arguments.

Fixes #40.
Fixes #41.",7e3d265b0f1fa52f5ce0889b18e501732c7c3660,False,requests/api.py
54449483b625c10ffd1818f4b4cfcc0dfe30be88,Merge branch 'patch-1' of https://github.com/JNRowe/requests into develop,"52bedf4c0b03a85c7e1361d0c3089b96f623ab10, 5962c0ea8609837454e79bad9e0a94ae5099ad23",True,
f31ade335de9df096ba3c67c9507dd4eb32667a8,"Change documentation comments for ""params"" and ""data"" parameters to refer to
the request body or the query string, as appropriate.  ""GET parameters"", ""POST
data"", etc aren't the ideal terminology to use - they come from common usage
with web browsers, rather than the HTTP specification, so are off-putting in
other contexts.",023ab755e5404fe379a22e0b8536aa668792b71a,False,requests/api.py
00f066a467901bdbb107396c015c17275fb59cc6,PATCH support,bdf9f90c8a3015ff7b7d03259ce57ec0ee98eb12,False,"requests/api.py, requests/models.py, test_requests.py"
8c81cf64deb2a310fbd74c15fd1f70a6e1a6241d,proper PATCH testing,00f066a467901bdbb107396c015c17275fb59cc6,False,test_requests.py
b4eac4c993219626ed96fcc0d5191c2cac6c8c0d,redirect fix,b4a4f38ccecba498085d3d0bb38463aac3b79419,False,"requests/models.py, requests/monkeys.py"
34a583b8217a1eaf65131958cec0ad659e85fb52,PATCH in Docs,2da86daa3a5869185d80ca90dc0acdf08d3690c1,False,docs/index.rst
15de7d9dbabd6acc97267c1c6addb59a08c6367b,add PATCH to docs,34a583b8217a1eaf65131958cec0ad659e85fb52,False,docs/api.rst
162b751f6db97c1c3ae4fea4af4d75f89b2ec698,"Timeouts are normal errors now.

--
BREAK ALL TEH TESTS!",20aed5488b117d82abc4a22cdb6585d06a02a70f,False,"requests/models.py, test_requests.py"
e2d6a92150de44722a305959b2326376343aedce,"Timeouts are normal errors now.

--
FIX ALL TEH TESTS!",162b751f6db97c1c3ae4fea4af4d75f89b2ec698,False,HISTORY.rst
882b465968ca9b8baecd6449e42c3253d0f29bef,tox fix,784fe8bbdbe4510bf2471b39234a61a5965229c6,False,tox.ini
39edf7a7fad2e799cc9129bcf3d2ba33df0cc507,raise_for_status +URLError,4cf4362610ae85c6df467b1caad5043bdefed6bf,False,requests/models.py
868cd3d1cb86cf1b657e16dd00aa66d3ceb7fc1e,Implemented idna (fixes #76).,39edf7a7fad2e799cc9129bcf3d2ba33df0cc507,False,"requests/models.py, test_requests.py"
891e52d72348d3bb2e5dfc243076992320b65f5d,Added the possibility to access headers without fetching the whole body (fixes #86).,d2ff0f40eb55ea572794daf286e74833ca773d59,False,requests/models.py
747f882b0e99f7d70e08acef78e517df93085c58,"structures: CaseInsensitiveDict.__delitem__ missing ""value"" fix",369e7cb38f7cd2b5ccbc86127d3a59f2fb8790c0,False,requests/structures.py
7d91d3fb5c8c826f4972db36c27384fc0e6550b9,use patched HTTPBasicAuthHandler,f18c40fd368310556b8822bb9c4997277ca8a307,False,requests/models.py
2edda29448a9530059b9d6f772ba1e9a92371e7b,fixing bad url shortner link,6ba3523a2680438d54775ae2f7e448290b03f9b9,False,test_requests.py
1e1fb1e7a81b0a925e772e20db24e4ef5c94ae72,Redirect history fix (Closes #91),080db5ee5d8bfdd7106b1c555a72935da2b5bbc5,False,requests/models.py
7f9c6233bbfd0c3e3292220254f8dcf333350905,history bugfix in history,9b6a190652354953c6bdb400daac0013b08974e5,False,HISTORY.rst
074150ff2c625a400244110c74f4e3546d08cbca,test fix,c3c90bb09c9f4cd635ea28cbc784ee5f724bdab8,False,test_requests.py
3293c0e8f4e23206e81f01f2d6332c401da53f8c,Python 2.5 bugfix,074150ff2c625a400244110c74f4e3546d08cbca,False,requests/monkeys.py
291d4742d63e523eb4353758039d145f2c1e2dfc,"Fixes correct ""relative"" redirections. Example: http://digg.com/d1qIwX, which redirects to ""/news/story/A_Manifesto_How_to_Save_Media"", which requests transforms to: http://digg.com//news/story/A_Manifesto_How_to_Save_Media"" which results in an endless redirect loop.",1cdd1d04cec8aa0ba9067a9fcef57e0b92c3ad3a,False,requests/models.py
18c42e88f5adc0c547b23905b7c2a60c0ecfe789,Fixing minor bug in code example - missing apostrophe,f238dffc189a9a2038bf79dc08059c415e013f9d,False,README.rst
d10b08ff8869c29b2d47b342f1c48a85336167fa,"Merge pull request #99 from petermanser/develop

Fixing minor bug in code example - missing apostrophe","f238dffc189a9a2038bf79dc08059c415e013f9d, 18c42e88f5adc0c547b23905b7c2a60c0ecfe789",True,
32a861b2eddcfd73049f245984a12b88b364dadd,Fixed memory leak (see http://bugs.python.org/issue1208304),2ce26d4a1c74650e9eac1bb30478d08e41462375,False,requests/models.py
e1909375f595d06d540bf93baa93a782f5cea239,"Merge branch 'memoryleak' into develop

Conflicts:
	requests/models.py","e7e395549f8b60777f00c244dabd2bd9f89271b6, cf94c96a68904b0c541425bb2eb0ee816d6a4e4c",True,
f7cc7b1778f6479d1ab21cb7994e26f2656ee41f,Merge branch 'patch-1' of https://github.com/jeremys/requests into develop,"e4adef522645bfbeb5f7f56d0cd539f5c57a1b92, 5a7ec361f4bf093e251d4953bcf6a432717cf690",True,
5693314a37ff8815c3c6a4bb7b9ebd5ef1abb5b9,response error handling rework,2e4724cceaed86cfd6a73ee495db668ceea80be7,False,requests/models.py
907e5294719c7d5a230eaa3c1a03f6230b90d875,changing history muahaha,2d70647f72fc230aec3453349fc4475cd3341de7,False,HISTORY.rst
56e58fdcafa3ec173d43b41e26b8f8c8b07edc34,Fix a link in the documentation.,9469b4bb6939e84b4539e6cd854e12c3d6b5d1fb,False,docs/user/install.rst
43669183ce3199533680f0552c96cb1aa33dbfea,Edited PATCH Requests in README,9469b4bb6939e84b4539e6cd854e12c3d6b5d1fb,False,README.rst
95dcdd8a05ef5dade3dd2234e445ba78d42a1f4e,Fixing a small typo.,9469b4bb6939e84b4539e6cd854e12c3d6b5d1fb,False,docs/user/install.rst
c4c86fd6e8f7400d0a8d3bf656db201ed7bec767,fix typo,9469b4bb6939e84b4539e6cd854e12c3d6b5d1fb,False,docs/user/install.rst
85c79658ef2bf4bc0ac4cd440a1e11d520590484,"Merge pull request #108 from zed/patch-1

fix typo","9469b4bb6939e84b4539e6cd854e12c3d6b5d1fb, c4c86fd6e8f7400d0a8d3bf656db201ed7bec767",True,
f52a413b6acfd524ee8f90a1c5a1f2c4be1d2e3a,Merge branch 'patch-1' of https://github.com/SimonSapin/requests into develop,"ced96912f3044bd8e26826257efa886c2b2880fb, 56e58fdcafa3ec173d43b41e26b8f8c8b07edc34",True,
ce1945c78025af0ec235d70d8cb501bfe7623145,status codes fix,f52a413b6acfd524ee8f90a1c5a1f2c4be1d2e3a,False,requests/status_codes.py
23ff27ea4b285bb55f7e87a62719e52a491141cf,Documentation fixes,933cbd735bc57383b812a35aaf1e51c51de59d95,False,requests/models.py
647cdd38476f6b21887d3ebcd6e0c79a6c97baa1,Use socket.setdefaulttimeout(timeout) only if timeout argument doesn't exist (Python <2.6) - https://github.com/kennethreitz/requests/issues/112,49e5df1ff9771810108a346cf8329c196cb099b2,False,"AUTHORS, requests/models.py"
08a821381aa87803e925eb1e9c61269e4186fa80,Fixed misc spelling mistakes.,4625445d2ab2ce748841f553a57d4280dac8ed10,False,requests/status_codes.py
853383a8d3e58ba30c6682cd7ddc0f2d82f42b18,docstring fix,f319006813c76454d5a0dfccebc6d73f02de88f1,False,requests/sessions.py
b72eb53a7303c290b1c18c40f1f918a7ec17c58d,changing history,4d0c6cefd033c39b80bd7efb74c53f91c5ec9903,False,HISTORY.rst
e0ae2b415513268df3b56cb1d396b01f2888dcdf,fixes,5f603ae787d6d98a8c1384fb693da21efd3c2b18,False,"requests/api.py, requests/models.py"
470af42bf203327f84d5554cf99b4b7207b47abb,Fixing myself :),0b34812afccc17c9d40c72c88f62c289d389faa9,False,AUTHORS
571d808d25d3391664a69920d4e0a5cb1418af90,Fixed bad merge.,fe109b27be1fcafee5d33924d9b84f47ba173264,False,requests/models.py
0708736c4594c41136dd163a29b5a7060a6723d8,Merge branch 'patch-1' of https://github.com/sharat87/requests into develop,"61d50d531cca57061335c776148c55d452ef5c3e, 5e6ecdad9f69b1ff789a17733b8edc6fd7091bd8",True,
d26f3333e4d2ac65fd82bd413bc5759a0808e259,Fix tried_encodings scope,820e2c73e62b94b43fc957a7d4d168050c7eabf5,False,requests/models.py
2f55393593fb0d8818fa014bc004dfed73564110,Fixes an issue #128: ``Response not working with lxml''. This error happend due to lxml's attempt to do .geturl() call on the response object. __getattr__ didn't raise AttributeError so ``response.geturl'' returned None and ``response.geturl()'' resulted into ``TypeError: 'NoneType' object is not callable'' seen in the issue.,efbbb84315505d78aff709106c53073e5111a9fe,False,requests/models.py
17c551539bca9d71e5f5e041654983aebd8bbbaa,Merge branch 'master' of github.com:densh/requests into issue-128,"2f55393593fb0d8818fa014bc004dfed73564110, 81d599786ac5ed87dd3f7f0538e71e57682381b0",True,
7f35ec7665de834c012c218df279aa28c68443bd,r.fo bugfix,86cc274cf01e38fd482c9e8be2e4c7f621340468,False,requests/models.py
6a96652396515631bb72ba7c363e96c27edd769a,Refactor response.content into a property. This makes content attribute discoverable through dir(response) and also guards from errors like forgetting to raise AttributeError in __getattr__. Also you don't have to create fake self.content to fool Sphinx any more.,d4bdd84364b602624096b1407c5d10936c6c9068,False,requests/models.py
c8110222a532821d27b0ade3ebdd7d0cb9545f80,"no need to set content
avoids 2.5 workaround",1143d4237f5e433a6181e6f7e1abcb1e7031120a,False,requests/models.py
75027f9557e61f2416af1794a269758604a7454c,"Typos, nits and some 80w fixes",e8dbecb4dbed3e835021977cf43f225a76bc5ec3,False,"docs/community/faq.rst, docs/community/updates.rst, docs/user/advanced.rst, docs/user/install.rst, docs/user/intro.rst, docs/user/quickstart.rst"
d12eac8669bc820c7fdd4efe47032112a6b41a1b,"* hooks is a package now.
* Added hooks.setup_hooks to setup multiple and default hooks
* Added hooks.response hooks to unicode encoding, and uncompress response.
* Modified hooks.dispatch_hooks api: don't need a key any more.",2dc556e0825bf3a235140c5af6b473945ebf4ab8,False,"requests/api.py, requests/config.py, requests/hooks/__init__.py, requests/models.py"
335bf7018d7b073ff9fe3ab68fa92dd12a4c57b8,default hooks copy fixed,d8fb6d2a5a169d1bbfd0c1a8cc583a55ecd4e88b,False,requests/hooks/__init__.py
1ecb593c7be7d6465cf61356f3bdada3849b84fd,Fix a bug when content-type is empty,35fc3b4dbb6c0b87f97c183dfae14289eb87d60d,False,requests/utils.py
6f84ce72f28a58afa782db585a86aa10632447df,Fixed logic for auto redirect in GET and HEAD methods.,6d25fff3f93eb89a87742bf3be24fa87724fe550,False,"requests/api.py, requests/models.py, test_requests.py"
0d6773c68ca04cc90c004cb3a98313dd035c5e22,Fail silently if encoding header is missing,41876fd8c6b7146026acfe58b18ceeb21aed3069,False,"requests/utils.py, test_requests.py"
1a64a29c842efeffa7558557f546fca28e046c6e,Merge branch 'fix_redirect' of https://github.com/jerem/requests into develop,"6f84ce72f28a58afa782db585a86aa10632447df, 824d54f13111387df941f7e6f02b8ac064bec04e",True,
34e3c7b68febd3b320544e77037676a3a6f35f63,fix for #160,c8914bd4d4c7e9e7638cdb43d5a3513315f19028,False,"AUTHORS, requests/api.py"
2a9ae4b367fc06eeb1c3c24d1c9f741396dd7576,Fixed #161 (quoting issue).,a8e77688f0a610bc8f8d304f2d15094aac149ac7,False,requests/models.py
3443ede52a74ea1c3bc0bb9a1d835a106448d0de,ref to bug in history,4b93bb40829a0db2a321fa5a8aba24b0b4982e77,False,HISTORY.rst
1d1927bb2b957658212ef89eb3cefdcc0a942033,add test with kwargs for api.patch,42c45df84d64b04da4702a94d7fa42d01501b218,False,tests/unit/test_requests_api.py
a3cc97128b9511659e136afb9b3fa42ae7490bda,"Response.fo => Reponse.raw
raise_for_status() fixes",71d3490bcde6a6c595bc76a1244f059a7d7f4458,False,requests/models.py
2d38f518348625cc9c6b8f5ee63a86bda784630e,kill AuthenticationError,a3cc97128b9511659e136afb9b3fa42ae7490bda,False,requests/exceptions.py
04bcab80574c7c2f1cf8e090ca34cd44a96b1e64,fails,332f55e552326323e205dd5069a1726439cca3cd,False,requests/models.py
dcebab4c35369f9f91dab3eb6ff877509f7d38c2,"PEP8fied all the things

I ran the pep8 checker (version 0.6.1) on the code base and tried to
clean up as many pep8 errors as I could.  Everything except line-width
errors are gone (I was worried about messing up the documentor since I
haven't fiddled with it).",784b6715591acbec35c6a5b20d57cec9c5b448e8,False,"AUTHORS, requests/api.py, requests/config.py, requests/core.py, requests/exceptions.py, requests/models.py, requests/monkeys.py, requests/sessions.py, requests/status_codes.py, requests/structures.py, requests/utils.py"
74ce263d69e41e820c1ccdc3746df66a0352842d,Merge branch 'fixencodings' of https://github.com/jerem/requests into develop,"ac9f9b653c5acfde2bc6c2c3e8cd3dbf6e402c4f, 95b0549c75c61fe0b759400713112de357ae74b1",True,
d2894b3c58dc40e5666049d6300b38ffb79d9007,"Merge branch 'develop' into urllib3

Conflicts:
	requests/api.py
	requests/exceptions.py
	requests/models.py","04bcab80574c7c2f1cf8e090ca34cd44a96b1e64, cd01aa466621932dd9a00551b1550d61eab6c4da",True,
df66fa7975dd359c97161848a175122a5406ee06,merge bugs,d2894b3c58dc40e5666049d6300b38ffb79d9007,False,"requests/api.py, requests/models.py"
5287b8cd9f1eca624b57cb03ad5d1fb2db41bf9e,fix,0b22bc9b4243808628e417959a4ada0d803ae515,False,"requests/models.py, requests/utils.py"
62d29d510625aa6c5415f4ba35579059b1c842fd,Fixed #174 and refactored urls quoting/concatenation in one function in utils.py.,cd01aa466621932dd9a00551b1550d61eab6c4da,False,"requests/models.py, requests/utils.py"
e8c2fc15852128a9da5f7db53ddd8f068624a71b,ch ch ch changes,2e391fa44cb1d5d2d5c4321c547d470d0b594333,False,requests/models.py
e1c0646f95930cfbd1b404aa820eda3f9836080f,urllib3 bugfix,c9f5614417fc2b997e2e5223d8bdacf07b9e13be,False,requests/packages/urllib3/connectionpool.py
78b5d9ed45d3f969e38e6772501da446db1efd59,Fix accidental-merge docstrings,ba9359371182a0727164606864434e22fc07be11,False,requests/models.py
0cf9ede580e3c661a1fdabdf0f4ce3a484cac363,fix builds,975a183796ac6feccecc8f9d0fd6b4d9eea97e1e,False,Makefile
24ffc3610a23ab46a43c0ed5a883a066595e516d,just fixed a typo,85507dd042362f4e05abc43bcf8862b8ed4c8d5b,False,docs/community/faq.rst
5871291956be62e7615a6c448e9ecb706fedf790,"Merge pull request #191 from nakajima/patch-1

just fixed a typo","85507dd042362f4e05abc43bcf8862b8ed4c8d5b, 24ffc3610a23ab46a43c0ed5a883a066595e516d",True,
e7b31af784c25b1cbc390bad60ea19f24a0c7905,urllib3 fix,8fbd6d85e0eb7f7cdc3f93dae0f2d08d3113574e,False,requests/packages/urllib3/connectionpool.py
20c930e48e31916481d6d45bcbb079f7c4670b18,"Fix errors introduced by merging an outdated pull request.

Don't do that anymore, OK?",abe33f0ef4b9ea9588eca01f902a534f0acd0cde,False,"requests/api.py, requests/config.py, requests/hooks.py, requests/models.py"
0cfd801f096f31b311aeb0d9f7e31b67a21c0b6b,"Merge pull request #196 from pyos/patch-2

Fix errors introduced by merging an outdated pull request.","abe33f0ef4b9ea9588eca01f902a534f0acd0cde, c4f013a6f999c2e945e00b1f052074b9c9377842",True,
3e233e4856b563c372774742f30d17842f4b8e42,v0.6.2 in changelog,4a7fdef3ea70b7acd7f883c6d08a8fee4a2b24f1,False,HISTORY.rst
597f0ae5fd2bf512737d022b8bc9f908657c47fc,Catch raw socket errors,565745f7b7b07d4fb210bd1f6ea9494cbaaa1626,False,requests/models.py
3161783e49ed3e4b62f8340b97b863e42074f10c,history fix,e9b4defe8de4318e3155f5723197243d32d28106,False,HISTORY.rst
aa31b6b4dd199ba733b5e03226a8019a2b9c7c66,Merge fixes,46f0146adfb6faaef4d47e8e1037dd1156b57a3a,False,"requests/api.py, requests/models.py"
84e89429f0414fe0d6b9497b16833bc6bee48957,Syntax fix for Python 2.5,4f6fc985094f3a7435cc3a18078203ee4bc5ee5b,False,requests/async.py
055f7c1eb6172736e830120532934077ee87c102,Some Doc and doctoring fixes by the Speling Poleece.,23efd56b126b85eed98c6ca481e167e8e9612ebd,False,"docs/community/faq.rst, docs/community/support.rst, docs/community/updates.rst, requests/api.py, requests/exceptions.py, requests/hooks.py, requests/models.py, requests/sessions.py, requests/status_codes.py, requests/structures.py, requests/utils.py"
ad6a8d53d6ceb22ceb20afb2458b7977e01a9ec6,docs: fix pip-compared-to-easy-install url.,cfd38263d1a8b3c6754c261a93d842fd5090deb8,False,docs/user/install.rst
681956e0c45f297cb3759a374b949e7faafc68f9,"Merge pull request #213 from fredrikmollerstrand/develop

Fix pip-compared-to-easy-install url","cfd38263d1a8b3c6754c261a93d842fd5090deb8, ad6a8d53d6ceb22ceb20afb2458b7977e01a9ec6",True,
